GlobalId,Class,Name,ObjectType,PredefinedType,IsExternal,LoadBearing,FireRating
2XPyKWY018sA1ygZKgQPtU,IfcWallStandardCase,Wand-Int-ERDG-4,,,,,
3PfS__Y_DBAfq5naM6zD2Z,IfcWallStandardCase,Wand-Int-ERDG-2,,,,,
2ptk1k7qn8_Qk22vjh$0DE,IfcWallStandardCase,Wand-Int-ERDG-1,,,,,
3jjW3rL656ex34Gws22EfM,IfcWallStandardCase,Wand-Int-ERDG-3,,,,,
1$wmdwWPjDYuku_ghVkynE,IfcWallStandardCase,Wand-Int-ERDG-5,,,,,
3rPX_Juz59peXXY6wDJl18,IfcWallStandardCase,Wand-Ext-ERDG-1,,,,,
16DNNqzfP2thtfaOflvsKA,IfcWallStandardCase,Wand-Ext-ERDG-4,,,,,
25fsbPyk15VvuXI$yNKenK,IfcWallStandardCase,Wand-Ext-ERDG-3,,,,,
1bzfVsJqn8De5PukCrqylz,IfcWallStandardCase,Wand-Ext-ERDG-2,,,,,
0knNIAVBPBFvBy_m5QVHsU,IfcWallStandardCase,Wand-Ext-OG-1,,,,,
25OWQvmXj5BPgyergP43tY,IfcWallStandardCase,Wand-Ext-OG-2,,,,,
3VCarUKgH1buLo22Ozxe6J,IfcWallStandardCase,Wand-Ext-OG-3,,,,,
3Ttjr$59XEWfWN1WUHjelZ,IfcWallStandardCase,Wand-Ext-OG-4,,,,,
1pPHnf7cXCpPsNEnQf8_6B,IfcSlab,Bodenplatte,,BASESLAB,,,
2RGlQk4xH47RHK93zcTzUL,IfcSlab,Slab-033,,FLOOR,,,
07Enbsqm9C7AQC9iyBwfSD,IfcSlab,Dach-1,,ROOF,,,
2IxUUNUVPB6Ob$eicCfP2N,IfcSlab,Dach-2,,ROOF,,,
1Oms875aH3Wg$9l65H2ZGw,IfcDoor,Innentuer-1,,,,,
0pGAjlJMP3ifYPATVF5xAR,IfcDoor,Innentuer-2,,,,,
2qiPPF3FrF8OIqfrKiSUqm,IfcDoor,Innentuer-3,,,,,
2jTRqchjf7oB0yhQ6462T0,IfcDoor,Haustuer,,,,,
1M$gxUrX1Fiwe3P64ww7U5,IfcDoor,Terrassentuer,,,,,
1srAI$R4T8ihLXSNHmUSET,IfcWindow,EG-Fenster-6,,,,,
0B1RwEzzP3CfME5NR$Vqh5,IfcWindow,EG-Fenster-7,,,,,
25nJxEpYf8LRDJNkMUVO0m,IfcWindow,EG-Fenster-4,,,,,
3BFcylCsX74PQAoRAe5fNv,IfcWindow,EG-Fenster-5,,,,,
13aSY79zb8fP4HApEJ0z_e,IfcWindow,EG-Fenster-8,,,,,
2EQh_jhP1B_A_AMuSJc5E0,IfcWindow,EG-Fenster-9,,,,,
1TAI4ouKX4Xx4lBDZIu5qM,IfcWindow,EG-Fenster-1,,,,,
2Q9w7oRXP249jBobEMVqlZ,IfcWindow,EG-Fenster-2,,,,,
1DiYqhfzH9xxuJdVHwXCNa,IfcWindow,EG-Fenster-3,,,,,
1zOBw0Gej5Wf0QAJfHnOc0,IfcWindow,OG-Fenster-2,,,,,
2ACmFFQhT1Ouf0x4YRUh9m,IfcWindow,OG-Fenster-1,,,,,
3tCgZT92j6fw8fXgwCL3Jm,IfcBeam,Unterzug-1,Radial Gradient Fill 1515460218 200 x 240,,,,
0eaC0nL3XAOfFxRXK_2iAr,IfcBeam,Pfette-2-1,,,,True,
3jZHeNcfvDMf9wG$wx9XqG,IfcBeam,Pfette-1-1,,,,True,
20bTaetQDApP5w8egFxj13,IfcBeam,First,,,,True,
38a9vdh9bF5Qg28GWyHhlr,IfcStair,Wendeltreppe,,,,,
347jFE2yX7IhCEIALmupEH,IfcSpace,4,,,,,
0e_hbkIQ5DMQlIJ$2V3j_m,IfcSpace,3,,,,,
2RSCzLOBz4FAK$_wE8VckM,IfcSpace,2,,,,,
0Lt8gR_E9ESeGH5uY_g9e9,IfcSpace,5,,,,,
3$f2p7VyLB7eox67SA_zKE,IfcSpace,1,,,,,
17JZcMFrf5tOftUTidA0d3,IfcSpace,6,,,,,
2dQFggKBb1fOc1CqZDIDlx,IfcSpace,7,,,,,
